,City
0,abaete
1,belushya guba
2,podgornoye
3,butaritari
4,pangkalanbuun
5,alotau
6,abeche
7,sao filipe
8,hilo
9,puerto penasco
10,amapa
11,rikitea
12,busselton
13,lengshuitan
14,atuona
15,illoqqortoormiut
16,victoria
17,tiksi
18,springdale
19,ushuaia
20,lebu
21,cockburn town
22,georgetown
23,kruisfontein
24,farafangana
25,wilmington
26,benguela
27,nikolskoye
28,khatanga
29,nuuk
30,ebebiyin
31,nanortalik
32,barrow
33,marsa matruh
34,albany
35,talnakh
36,tilichiki
37,kamenka
38,peleduy
39,linqu
40,kahului
41,cayenne
42,hermanus
43,punta arenas
44,khovu-aksy
45,sentyabrskiy
46,pafos
47,lorengau
48,doha
49,klaksvik
50,tabas
51,cidreira
52,petersburg
53,ixtapa
54,camacha
55,kudahuvadhoo
56,bethel
57,bredasdorp
58,new norfolk
59,caravelas
60,rawson
61,richards bay
62,seoul
63,tuktoyaktuk
64,luderitz
65,mys shmidta
66,aloleng
67,kempsey
68,mana
69,tasiilaq
70,umzimvubu
71,robertsport
72,yellowknife
73,mataura
74,tumannyy
75,san ignacio
76,fort saint james
77,ust-ilimsk
78,fortuna
79,baykit
80,severo-kurilsk
81,avarua
82,haradok
83,jiddah
84,salym
85,lagoa
86,upernavik
87,kutum
88,port alfred
89,maceio
90,kuche
91,hobart
92,guerrero negro
93,kanniyakumari
94,taolanaro
95,yirol
96,petatlan
97,lapua
98,vaini
99,fasa
100,tsihombe
101,minas
102,qaanaaq
103,marcona
104,pleszew
105,lasa
106,luganville
107,the pas
108,qaqortoq
109,mar del plata
110,arraial do cabo
111,chokurdakh
112,samusu
113,plettenberg bay
114,shibetsu
115,thompson
116,katsuura
117,ilulissat
118,mount gambier
119,batemans bay
120,boves
121,san cristobal
122,barentsburg
123,pevek
124,kargil
125,nome
126,ankara
127,carnduff
128,east london
129,atar
130,vestmannaeyjar
131,nerchinskiy zavod
132,berlevag
133,bac can
134,mporokoso
135,saleaula
136,pisco
137,ambositra
138,havoysund
139,eenhana
140,vardo
141,yenotayevka
142,bubaque
143,santa lucia
144,morondava
145,nishihara
146,puerto ayora
147,cherskiy
148,jamestown
149,kodiak
150,sonqor
151,pangnirtung
152,cape town
153,alofi
154,erenhot
155,gorontalo
156,longyearbyen
157,mahibadhoo
158,monte alegre
159,college
160,castro
