,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_Temp,Wind_Speed,date
0,abaete,68,BR,1553365573,71,-19.16,-45.45,27.24,2.77,1553365573
2,podgornoye,64,RU,1553365573,80,57.79,82.64,-2.06,0.87,1553365573
3,butaritari,68,KI,1553365484,100,3.07,172.79,27.44,4.02,1553365484
4,pangkalanbuun,36,ID,1553365431,89,-2.68,111.62,23.09,1.42,1553365431
6,abeche,32,TD,1553365574,21,13.83,20.83,30.09,2.77,1553365574
7,sao filipe,0,CV,1553365467,92,14.9,-24.5,22.19,6.82,1553365467
8,hilo,75,US,1553365453,77,19.71,-155.08,20.31,2.6,1553365453
9,puerto penasco,0,MX,1553364916,81,31.32,-113.53,17.78,3.13,1553364916
10,amapa,75,HN,1553364000,43,15.09,-87.97,31.0,5.1,1553364000
11,rikitea,32,PF,1553365458,98,-23.12,-134.97,26.29,8.47,1553365458
12,busselton,8,AU,1553365217,51,-33.64,115.35,10.39,5.92,1553365217
13,lengshuitan,88,CN,1553365575,99,26.41,111.6,8.79,1.62,1553365575
14,atuona,68,PF,1553365470,100,-9.8,-139.03,27.84,7.37,1553365470
16,victoria,75,BN,1553362200,94,5.28,115.24,26.81,2.1,1553362200
17,tiksi,48,RU,1553365385,68,71.64,128.87,-16.91,1.37,1553365385
18,springdale,90,US,1553365443,44,36.19,-94.13,14.86,2.6,1553365443
19,ushuaia,20,AR,1553360400,81,-54.81,-68.31,12.0,1.5,1553360400
20,lebu,40,ET,1553364000,30,8.96,38.73,21.0,3.1,1553364000
21,cockburn town,0,TC,1553365171,98,21.46,-71.14,26.44,4.57,1553365171
22,georgetown,75,GY,1553364000,46,6.8,-58.16,30.82,6.2,1553364000
23,kruisfontein,0,ZA,1553365356,83,-34.0,24.73,21.29,4.37,1553365356
24,farafangana,76,MG,1553365577,100,-22.82,47.83,24.24,3.22,1553365577
25,wilmington,1,US,1553365442,33,39.75,-75.55,8.32,10.8,1553365442
26,benguela,36,AO,1553365577,96,-12.58,13.4,27.84,1.57,1553365577
27,nikolskoye,90,RU,1553365485,86,59.7,30.79,2.97,4.0,1553365485
28,khatanga,0,RU,1553365294,48,71.98,102.47,-26.91,1.42,1553365294
29,nuuk,75,GL,1553363400,40,64.17,-51.74,-8.0,7.2,1553363400
30,ebebiyin,80,GQ,1553365578,95,2.15,11.34,23.14,1.17,1553365578
31,nanortalik,24,GL,1553365537,100,60.14,-45.24,-4.91,7.92,1553365537
32,barrow,0,AR,1553365478,48,-38.31,-60.23,26.34,9.57,1553365478
33,marsa matruh,40,EG,1553360400,63,31.35,27.25,18.0,6.7,1553360400
34,albany,40,US,1553365276,50,42.65,-73.75,0.75,11.8,1553365276
35,talnakh,68,RU,1553365527,66,69.49,88.39,-16.51,2.42,1553365527
36,tilichiki,0,RU,1553365526,41,60.47,166.1,-25.61,1.32,1553365526
37,kamenka,64,RU,1553364663,73,53.19,44.05,2.78,4.07,1553364663
38,peleduy,44,RU,1553365579,60,59.63,112.75,-11.36,3.57,1553365579
39,linqu,0,CN,1553365184,46,36.52,118.54,5.0,1.72,1553365184
40,kahului,20,US,1553365347,60,20.89,-156.47,21.49,5.1,1553365347
41,cayenne,75,GF,1553364000,62,4.94,-52.33,31.0,6.2,1553364000
42,hermanus,64,ZA,1553364960,84,-34.42,19.24,21.98,1.62,1553364960
43,punta arenas,20,CL,1553364798,71,-53.16,-70.91,12.93,3.6,1553364798
44,khovu-aksy,0,RU,1553365580,64,51.13,93.72,-13.66,1.47,1553365580
47,lorengau,88,PG,1553365580,99,-2.02,147.27,28.04,5.57,1553365580
48,doha,0,QA,1553362200,73,25.29,51.53,22.0,5.7,1553362200
49,klaksvik,92,FO,1553363400,80,62.23,-6.59,4.0,9.3,1553363400
50,tabas,0,IR,1553360400,47,33.6,56.92,17.0,2.1,1553360400
51,cidreira,12,BR,1553365392,85,-30.17,-50.22,23.59,2.42,1553365392
52,petersburg,1,US,1553365405,22,37.23,-77.4,14.03,4.1,1553365405
53,ixtapa,5,MX,1553365508,42,20.71,-105.21,28.07,2.6,1553365508
54,camacha,75,PT,1553362200,67,33.08,-16.33,17.58,6.2,1553362200
55,kudahuvadhoo,8,MV,1553365582,99,2.67,72.89,29.59,4.62,1553365582
56,bethel,90,US,1553363760,80,60.79,-161.76,2.0,3.6,1553363760
57,bredasdorp,8,ZA,1553364960,88,-34.53,20.04,21.41,1.5,1553364960
58,new norfolk,75,AU,1553365396,68,-42.78,147.06,16.83,3.6,1553365396
59,caravelas,92,BR,1553365510,100,-17.73,-39.27,26.69,9.62,1553365510
60,rawson,68,AR,1553365429,45,-43.3,-65.11,18.94,10.77,1553365429
61,richards bay,48,ZA,1553365582,93,-28.77,32.06,22.24,3.42,1553365582
62,seoul,1,KR,1553363760,74,37.57,126.98,-0.26,1.0,1553363760
63,tuktoyaktuk,90,CA,1553364000,71,69.44,-133.03,-13.0,10.3,1553364000
64,luderitz,8,NA,1553365544,82,-26.65,15.16,17.49,5.27,1553365544
66,aloleng,12,PH,1553365583,90,16.13,119.78,25.69,5.22,1553365583
67,kempsey,36,AU,1553365505,96,-31.08,152.84,20.88,0.89,1553365505
68,mana,0,RS,1553364000,47,43.52,20.24,10.39,2.1,1553364000
69,tasiilaq,20,GL,1553363400,56,65.61,-37.64,-9.0,6.7,1553363400
71,robertsport,12,LR,1553365584,98,6.75,-11.37,28.44,4.57,1553365584
72,yellowknife,20,CA,1553365009,54,62.45,-114.38,-15.39,4.1,1553365009
73,mataura,64,NZ,1553365206,90,-46.19,168.86,13.33,1.22,1553365206
75,san ignacio,0,CL,1553364000,39,-36.8,-72.03,26.0,9.8,1553364000
76,fort saint james,88,CA,1553365585,93,54.43,-124.25,2.04,1.32,1553365585
77,ust-ilimsk,76,RU,1553365586,79,57.96,102.73,-4.56,2.82,1553365586
78,fortuna,20,ES,1553365419,51,38.18,-1.13,14.82,2.6,1553365419
79,baykit,88,RU,1553365586,79,61.68,96.39,-6.11,1.07,1553365586
80,severo-kurilsk,80,RU,1553365489,96,50.68,156.12,-1.06,8.32,1553365489
81,avarua,80,CK,1553362200,94,-21.21,-159.78,24.0,0.5,1553362200
82,haradok,8,BY,1553365586,60,55.46,29.99,2.29,3.87,1553365586
84,salym,92,RU,1553365587,95,60.06,71.48,-0.46,0.57,1553365587
85,lagoa,0,PT,1553365329,59,37.14,-8.45,18.26,4.6,1553365329
86,upernavik,24,GL,1553365465,100,72.79,-56.15,-21.06,4.32,1553365465
87,kutum,36,SD,1553365396,41,14.2,24.66,24.99,1.32,1553365396
88,port alfred,0,ZA,1553365210,92,-33.59,26.89,22.52,0.89,1553365210
89,maceio,20,BR,1553364000,59,-9.67,-35.74,32.0,6.2,1553364000
91,hobart,75,AU,1553365274,68,-42.88,147.33,16.82,3.6,1553365274
92,guerrero negro,0,MX,1553365302,63,27.97,-114.04,20.14,2.17,1553365302
93,kanniyakumari,0,IN,1553365588,98,8.08,77.57,29.44,2.37,1553365588
96,petatlan,5,MX,1553363040,55,17.52,-101.27,30.0,5.1,1553363040
97,lapua,24,FI,1553365484,64,62.97,23.01,3.62,3.6,1553365484
98,vaini,0,IN,1553365293,85,15.34,74.49,21.09,1.37,1553365293
99,fasa,20,IR,1553360400,87,28.94,53.65,11.0,0.97,1553360400
101,minas,75,UY,1553364000,44,-34.38,-55.24,25.0,4.1,1553364000
102,qaanaaq,8,GL,1553365457,61,77.48,-69.36,-29.76,4.47,1553365457
104,pleszew,8,PL,1553365562,64,51.9,17.79,14.48,3.13,1553365562
105,lasa,20,CY,1553364956,87,34.92,32.53,13.1,2.1,1553364956
106,luganville,92,VU,1553365571,100,-15.51,167.18,24.24,1.32,1553365571
107,the pas,90,CA,1553364000,69,53.82,-101.24,2.0,3.6,1553364000
108,qaqortoq,75,GL,1553363400,44,60.72,-46.03,-7.0,1.5,1553363400
109,mar del plata,56,AR,1553365493,72,-46.43,-67.52,14.69,6.47,1553365493
110,arraial do cabo,40,BR,1553364000,65,-22.97,-42.02,27.36,4.6,1553364000
111,chokurdakh,56,RU,1553365332,50,70.62,147.9,-27.51,1.42,1553365332
113,plettenberg bay,12,ZA,1553365591,93,-34.05,23.37,21.24,2.77,1553365591
114,shibetsu,68,JP,1553365591,74,44.15,142.46,-10.56,1.67,1553365591
115,thompson,20,CA,1553364000,48,55.74,-97.86,-8.0,6.7,1553364000
116,katsuura,40,JP,1553360400,93,33.93,134.5,3.0,2.6,1553360400
117,ilulissat,75,GL,1553363400,39,69.22,-51.1,-21.0,5.7,1553363400
118,mount gambier,90,AU,1553363400,100,-37.83,140.78,15.0,1.5,1553363400
119,batemans bay,24,AU,1553365503,87,-35.71,150.18,15.52,1.27,1553365503
120,boves,90,FR,1553365560,87,49.85,2.39,9.9,4.6,1553365560
121,san cristobal,75,EC,1553364975,49,-0.39,-78.55,18.93,5.7,1553364975
123,pevek,0,RU,1553365305,35,69.7,170.27,-30.91,1.52,1553365305
124,kargil,8,PK,1553365593,84,34.56,76.13,-15.26,0.52,1553365593
125,nome,1,US,1553365426,41,30.04,-94.42,23.49,6.2,1553365426
126,ankara,0,TR,1553365478,35,39.92,32.85,5.1,4.1,1553365478
127,carnduff,0,CA,1553365594,94,49.17,-101.8,2.09,1.32,1553365594
128,east london,0,ZA,1553364000,83,-33.02,27.91,24.0,6.2,1553364000
129,atar,0,MR,1553365594,27,20.52,-13.05,27.49,4.62,1553365594
130,vestmannaeyjar,75,IS,1553364000,93,63.44,-20.27,3.0,11.8,1553364000
131,nerchinskiy zavod,0,RU,1553365594,66,51.31,119.61,-9.91,2.32,1553365594
132,berlevag,12,NO,1553365458,100,70.86,29.09,-0.91,3.02,1553365458
134,mporokoso,64,ZM,1553365595,100,-9.37,30.12,18.59,1.67,1553365595
136,pisco,0,PE,1553364000,30,-13.71,-76.2,22.0,4.6,1553364000
137,ambositra,92,MG,1553365595,99,-20.53,47.24,16.09,0.62,1553365595
138,havoysund,12,NO,1553365200,69,71.0,24.66,2.0,2.6,1553365200
139,eenhana,36,NA,1553365596,33,-17.48,16.34,28.64,3.12,1553365596
140,vardo,1,US,1553365581,31,39.62,-77.74,8.32,7.7,1553365581
141,yenotayevka,92,RU,1553365596,89,47.24,47.04,5.09,3.97,1553365596
142,bubaque,8,GW,1553365516,80,11.28,-15.83,28.99,2.62,1553365516
143,santa lucia,20,IT,1553365201,59,39.93,9.66,14.39,2.1,1553365201
144,morondava,20,MG,1553365375,77,-20.3,44.28,29.59,2.57,1553365375
145,nishihara,20,JP,1553365530,38,35.74,139.53,2.29,2.6,1553365530
146,puerto ayora,20,EC,1553364955,70,-0.74,-90.35,27.93,5.1,1553364955
147,cherskiy,12,RU,1553365317,22,68.75,161.3,-25.91,0.97,1553365317
148,jamestown,92,AU,1553365470,93,-33.21,138.6,17.34,3.47,1553365470
149,kodiak,90,US,1553365412,29,39.95,-94.76,11.07,5.1,1553365412
150,sonqor,75,IR,1553362200,37,34.78,47.6,12.0,2.1,1553362200
151,pangnirtung,90,CA,1553364000,70,66.15,-65.72,-17.0,7.7,1553364000
